second,train_L1Loss,train_RMSE,train_PLCC,train_SROCC,test_L1Loss,test_RMSE,test_PLCC,test_SROCC
4,0.27795904576778413,0.34407549710376284,-0.023026289505985995,-0.016135297176796022,0.2761987835168839,0.34407475062428244,-0.13267825553181412,-0.11422623900278538
7,0.21716135144233703,0.26008182911980465,0.055984799372422414,0.04335871258201236,0.24134649634361266,0.27805138159202014,-0.07572012880241474,-0.06407363216085707
10,0.20696150586009027,0.24329187322679194,0.19407621081823956,0.1696606284347719,0.24040824472904204,0.28776737996003154,-0.019863169812548966,-0.035715933736799106
13,0.19867371022701263,0.23629274776372372,0.3138344431406038,0.24541609435092382,0.2343902885913849,0.2742258497804589,0.06812964564998097,0.017038350571867863
16,0.1928418345749378,0.23234520440321704,0.34267623916222123,0.2285463437080331,0.23524158000946044,0.28286009832329495,0.10987498472607715,0.04981714279920131
20,0.18866044357419015,0.22956758040217004,0.3731554039962217,0.2606188423746949,0.2334264487028122,0.281807471716927,0.14769254654183472,0.06463615701853029
23,0.18319466933608056,0.22521819780926275,0.41535587936168933,0.30727099673418523,0.2459791600704193,0.3045627531199184,0.17016893369902208,0.08522105102900979
26,0.18668436780571937,0.23236073584284245,0.36990965925596153,0.26384790255238466,0.24503032267093658,0.3040092592846702,0.1876925046260743,0.1114897899555625
29,0.1807428181171417,0.2306133818989737,0.42681921405734957,0.3324975041798344,0.22658542096614837,0.2721544958919194,0.21029094737181145,0.15304631381617187
33,0.1782366529107094,0.22136970225443375,0.45043435690026945,0.3730616070972605,0.2314540833234787,0.2826952977592567,0.234495101827571,0.17174440569987245
36,0.17692601680755615,0.22118808314931895,0.4640117351932105,0.3970723693305643,0.22936183512210845,0.2802239793440127,0.25217757664070833,0.19268966719729888
39,0.17525649517774583,0.21962927791310555,0.46870124836336646,0.40388796693126106,0.2235753446817398,0.2707235010170558,0.267266859644993,0.2145255930527079
42,0.1740524426102638,0.21926419703747074,0.4752812961838697,0.4029299884268002,0.2216883897781372,0.26861734738832493,0.28933252518685393,0.2375422351458373
46,0.17192806228995322,0.2162060983938689,0.49707692613419285,0.4445112196291278,0.22237899899482727,0.2713301907189208,0.2999403769579093,0.2425698010612917
49,0.17068346664309503,0.21362394363086848,0.5064807128105935,0.456394785480266,0.22444512844085693,0.27544468098059394,0.320914105239736,0.2587365310854628
52,0.17180581726133823,0.21725823635670416,0.4931183675329949,0.4349873569908211,0.21802358627319335,0.26512915085476196,0.33441328518782837,0.26645659879363437
55,0.16898481249809266,0.21238251452701845,0.5206742993252528,0.480741210271981,0.2171178340911865,0.2640898268642861,0.3458688872191171,0.27847177817549834
