second,train_MSELoss,train_RMSE,train_PLCC,train_SROCC,test_MSELoss,test_RMSE,test_PLCC,test_SROCC
3,0.3850771501660347,0.6205458506474746,-0.021521495427361405,-0.01988116264079847,0.4030927777290344,0.6348958894066492,0.0813731964517581,0.06049860652288589
5,0.3749827578663826,0.6123583614246589,-0.009378500716095316,-0.013001689106528698,0.39245657324790956,0.626463540551327,0.0008028925265491614,0.054927048904102924
7,0.36428159698843954,0.6035574523654108,-0.003819086279792057,-0.01718064851139123,0.38118143677711486,0.6173989267901284,-0.029714648202663178,0.046332066186494325
9,0.352919864654541,0.5940705883744057,0.019180561312958977,0.012940417873411332,0.36925322413444517,0.607662098075959,-0.03760623380281351,0.0446059649339392
11,0.341008697450161,0.5839595010761542,-0.03822944689051799,-0.0451529850656169,0.356581711769104,0.597144639483892,-0.048987528716492805,0.04762797676004556
13,0.3283423915505409,0.5730116855767886,0.054894010351642035,0.053932665947259185,0.3435006499290466,0.5860892875752444,-0.059319328967600525,0.03441274492575047
16,0.31531473621726036,0.5615289265534581,0.023454681177938995,0.02181691414237408,0.3297767281532288,0.5742618988292698,-0.0691226042050573,0.019066105112964214
18,0.30171585977077486,0.5492866870306977,0.06425568494032424,0.06052706149439877,0.3157286822795868,0.5618973922554196,-0.07674628158037934,0.00745939048999948
20,0.2879255376756191,0.5365869323319763,-0.03560254042905889,-0.04186245554159454,0.3011640965938568,0.5487841972124012,-0.08261353294724261,0.002146117651473726
22,0.2737713687121868,0.5232316588002036,-0.08325585468229901,-0.08706064034406887,0.2863861918449402,0.5351506192449403,-0.08293935665555624,-0.0007837346495056695
24,0.2592595651745796,0.509175375608454,0.04337103103482744,0.034358271842546556,0.27173933386802673,0.5212862244741971,-0.08844817590364233,-0.004695069518114608
26,0.24495114535093307,0.4949253928392039,-0.0075775945140850315,-0.01090688747898345,0.25673154592514036,0.5066868287879154,-0.09647591063057959,-0.009686060028833446
29,0.23043222054839135,0.4800335600252761,0.005271083157553893,0.0016580928080616418,0.24191810190677643,0.4918517068659239,-0.10326500800527766,-0.015863656641045634
