second,train_L1Loss,train_RMSE,train_PLCC,train_SROCC,test_L1Loss,test_RMSE,test_PLCC,test_SROCC
0,0.3059048766598982,0.3575270837294996,0.033822631880718046,0.028254188559532063,0.20737972259521484,0.2863214618222946,-0.20556564596319363,-0.33689839572192515
0,0.23963984014356837,0.3057741062135298,-0.076091278411554,-0.07982656154612762,0.22738828659057617,0.32371125201208817,-0.2181250719616867,-0.2807486631016043
1,0.2497479976976619,0.3222442326519606,-0.11233270493163852,-0.11488471351870305,0.19932419061660767,0.2955609124776081,-0.18651770826181038,-0.25868983957219255
1,0.23314590401509228,0.28545040341407557,-0.008361189295520734,-0.01507933609179089,0.20410770773887635,0.2756052196609707,-0.12828053461754707,-0.23830213903743316
1,0.23350706214413924,0.2917944054540682,-0.038563802598650006,-0.03905495870140305,0.199337700009346,0.297346852041986,-0.09282342898557666,-0.00501336898395722
2,0.224059959544855,0.28663912959764776,0.08495485163205382,0.07494273504719466,0.20017627775669097,0.2856754274519849,-0.029506440279930254,0.08155080213903744
2,0.21601561237783992,0.27868918863823294,0.200833492981995,0.225516949904254,0.199556303024292,0.29065274733135293,0.03569201036586076,0.15474598930481284
2,0.2161854417885051,0.2768797785053458,0.26866288180564424,0.30644967728133654,0.20019474029541015,0.2904285225896997,0.0879992013125662,0.22092245989304812
3,0.21169080278452704,0.2670233681852176,0.32179227166811186,0.3142397979682029,0.2031595677137375,0.27408569099203534,0.16251071977232104,0.25969251336898397
3,0.2103638057323063,0.27007118201785096,0.3500515544963192,0.34993451706991274,0.1997235059738159,0.2857968175334186,0.19940941559869282,0.2760695187165776
3,0.20720982025651372,0.2629297032063602,0.480463699153952,0.45821875994636135,0.198948934674263,0.2776880918107027,0.264558181525263,0.3375668449197861
4,0.20244581296163447,0.2552068497414532,0.5336312066018519,0.5143097159971406,0.1975724697113037,0.27906702238218273,0.309502882026767,0.33990641711229946
4,0.20038187284679973,0.25444960169657194,0.5646065009652514,0.5396680458954464,0.1969760537147522,0.27324412565494216,0.35292388420279225,0.37433155080213903
4,0.1974518711076063,0.24871269202530286,0.6059961745193431,0.601018507406615,0.19615232944488525,0.2673047312234583,0.40229843985594876,0.3973930481283423
5,0.1926505149287336,0.2509184196208134,0.6354541767180902,0.6460425873844916,0.19309407770633696,0.2719047237017871,0.4342984295570092,0.4090909090909091
5,0.19126991226392634,0.24172004479808804,0.6755335570983665,0.6789614563821071,0.19042764902114867,0.2737787165295183,0.47430293251365374,0.44685828877005357
5,0.1906391960733077,0.24553520937815082,0.6887381573911223,0.7039336717922494,0.191571244597435,0.25759626999560553,0.5031381653508951,0.4983288770053476
6,0.18517262532430537,0.23491672545352926,0.6957815842908864,0.6995194439951369,0.18767450749874115,0.2697314277954497,0.5066026151562008,0.4949866310160428
6,0.180269396480392,0.23806181432434614,0.7178369397206302,0.7310034280705232,0.18906190991401672,0.2479351173618887,0.5415478515412389,0.5327540106951872
6,0.1853152070851887,0.2296275087442266,0.7047389042915857,0.7182877387778953,0.18517354130744934,0.25218051190676416,0.5632280189117039,0.5588235294117647
7,0.1798790412790635,0.2186118308067591,0.7179042362116759,0.760269862720646,0.18340312838554382,0.254200129136263,0.5599453636883557,0.5504679144385027
7,0.17328360413803773,0.22816593050020176,0.7435659745136305,0.7628161312371837,0.18289247751235962,0.24587500674468443,0.5737764705928268,0.554812834224599
7,0.1697526915984995,0.21545904247638048,0.7500469628538373,0.7688217768571323,0.18069809079170226,0.2391626697362396,0.59621833736005,0.5875668449197862
8,0.16947169426609487,0.21158559994476386,0.7732941627877965,0.7936009350231928,0.174754336476326,0.250226037185292,0.6078478302766239,0.5929144385026738
8,0.17268463136518702,0.2179686062712074,0.7536646852896064,0.770251444016008,0.17067280113697053,0.2553927551679015,0.6250419327701238,0.615975935828877
9,0.16504645742037716,0.20451455350710493,0.7559423205428514,0.7703192749396043,0.17571426928043365,0.21503953165875112,0.6539064969258966,0.6794786096256684
9,0.15715045438093297,0.20345958741074321,0.7674067127734887,0.7758083619875502,0.16706885695457457,0.2352222060428865,0.6621027928879305,0.6754679144385027
9,0.15704727698774898,0.1985281184109619,0.793344460901886,0.8166895378626996,0.16560210585594176,0.2286937968590062,0.6732488138135574,0.688168449197861
10,0.158301805748659,0.20034388435681355,0.7797471408213262,0.8081271881995062,0.1615404814481735,0.2325835494545373,0.6861766504705357,0.6945187165775402
10,0.1578703737434219,0.19033495336497624,0.7710773767013698,0.7997109359102126,0.1612839877605438,0.21122788696765774,0.7111310850772343,0.7132352941176471
11,0.1506281135713353,0.19549769047631077,0.8205277771806776,0.8319723667252794,0.15645217001438141,0.21611249595039678,0.727047425092439,0.7272727272727273
11,0.1506905148134512,0.18633030488840546,0.785775939409167,0.786551736732532,0.1559390038251877,0.2045386827528134,0.7359417899036766,0.7336229946524064
11,0.14301765929250157,0.18616740414769548,0.8288678314188876,0.8433470908360421,0.1514737069606781,0.20769778163765812,0.7448527525795284,0.7413101604278075
12,0.14088445288293502,0.17997593798798378,0.8298428696369619,0.8392459288401433,0.15025938749313356,0.19493393816976057,0.7551218606465064,0.7426470588235294
12,0.13925432282335617,0.17409416104911618,0.8323049688307703,0.8465090554283,0.14446815848350525,0.2121611320893196,0.7574413842617675,0.7469919786096257
12,0.13339788598172805,0.17862355068680671,0.8164011218699517,0.8212655163237726,0.14751629829406737,0.18173838786238886,0.7668469398613587,0.7469919786096257
12,0.13111831554595163,0.17013279448587976,0.8372958788835143,0.8464777488481786,0.14163764119148253,0.18580842380986012,0.7726227576427169,0.7566844919786097
13,0.13428596319521174,0.1696840361653122,0.8323644630782152,0.8369292419111621,0.1401060163974762,0.17594717679980518,0.7850208145737947,0.7687165775401069
13,0.12947648413041057,0.16476504642767756,0.8320997059935205,0.8370805570484156,0.13464098870754243,0.18774492045031596,0.7945712256203212,0.7957887700534759
13,0.12479934271644144,0.1637801869416174,0.846905200140059,0.8630180586789666,0.1316035121679306,0.17482795686901564,0.8032269753405716,0.8074866310160429
14,0.12419688833110473,0.16129108565865752,0.8522752786585198,0.858807323652643,0.13034452497959137,0.16712252088557833,0.8106639034487266,0.822192513368984
14,0.12713441165054545,0.15862606372994326,0.8371477069750446,0.841745237486499,0.12642280906438827,0.20096446006654534,0.8193673971380985,0.8358957219251336
14,0.12188122005147092,0.1628349339639947,0.8494597053015132,0.8611970592685739,0.122850301861763,0.1710889470932605,0.8244703326195845,0.8442513368983958
15,0.11779552303692874,0.15539550640250582,0.860345792708386,0.865673900225929,0.11939425766468048,0.1682166250064411,0.8361519308813264,0.8572860962566845
15,0.11615587288842481,0.15366156007768234,0.8612723612617185,0.8712099471440571,0.12278396785259246,0.1512614549588551,0.8424293274987457,0.858957219251337
15,0.12360687510055654,0.15478176225899262,0.8376544954708407,0.8352647754013762,0.11300359070301055,0.17071709550471395,0.8531794471198195,0.8669786096256685
16,0.1134782727150356,0.14776669847773755,0.8582924931696249,0.8643120639906496,0.11030672788619995,0.1574086482345648,0.8591681394220798,0.8783422459893048
