second,train_L1Loss,train_RMSE,train_PLCC,train_SROCC,test_L1Loss,test_RMSE,test_PLCC,test_SROCC
2,0.29056455940008163,0.352205206783705,0.0714308026976237,0.06458750786268398,0.21914027333259584,0.258580232409172,0.2555878216410997,0.17285435429070434
3,0.21845352575182914,0.26046154234587154,0.05791198004699447,0.0461924635551044,0.21744604408740997,0.2601981852903638,0.2757405186389287,0.1762954444821419
4,0.21219558268785477,0.24987261871016664,0.105642148024933,0.07718035047418467,0.21468110978603364,0.2536773153086159,0.34197868422626676,0.23664270307570065
6,0.20968970209360122,0.24559439701470204,0.17303119808983058,0.1429772064296508,0.21031273901462555,0.2492318749645616,0.37127314943033335,0.26716425017599926
7,0.20680680871009827,0.2437936386048696,0.2109426599672774,0.17235533929217497,0.20861466526985167,0.24792074322145127,0.4034128440738668,0.29979967260462653
9,0.20514949411153793,0.24191373875258065,0.23897350348494273,0.18645524303841304,0.2056921273469925,0.24567153129685812,0.4274195046396656,0.31525894241741514
10,0.20208593010902404,0.23940183799599504,0.2787973082268085,0.2249852170566394,0.20234941840171813,0.24312448489580596,0.4403897462038475,0.3231328716549532
11,0.19985802173614503,0.2379039163372094,0.29928053811424293,0.23795304378017365,0.1985161006450653,0.24059100824575583,0.4525684554650933,0.33590108881483804
13,0.19828094393014908,0.23715784291529773,0.3060591517588989,0.2323552666224664,0.1951841354370117,0.23790755323482363,0.45423308156093317,0.3381512014304396
14,0.1956246353685856,0.23545085752294048,0.32826675695252294,0.25645337492890885,0.19542821049690245,0.2394222786810205,0.4657401026132284,0.3453219704756022
15,0.1939430169761181,0.23403539606793058,0.34366350864355816,0.27278281625621853,0.19183315932750702,0.23585526658581266,0.4693944922322121,0.35108202438481134
17,0.1926979050040245,0.23356351451929547,0.35011128894916366,0.2832967012619382,0.19220296740531922,0.2365843156312161,0.4771559007491951,0.3624322018234057
18,0.19132158011198044,0.23253337542327215,0.3596040174347752,0.29412190494647583,0.1895549178123474,0.2340618718723404,0.47755276795546053,0.3625157020962502
20,0.19010882824659348,0.23151474870161567,0.37068636843634206,0.3091398112800262,0.18955561220645906,0.2341127562977831,0.48396353773312184,0.3742643369771907
21,0.1894828513264656,0.23065106085120118,0.37826824498634487,0.31545497886425633,0.18904255628585814,0.23345344067702256,0.48858849641625135,0.3857536815371927
22,0.18959652855992318,0.2306532081703956,0.3797136390474041,0.3236348387380645,0.186835977435112,0.23233050499181146,0.4870649014734569,0.3818379582159017
24,0.1881507933139801,0.22985831794597797,0.3919982419375603,0.33384358853203966,0.19016397893428802,0.2339088874447499,0.49792387068909505,0.40709312845872136
25,0.18752797022461892,0.22873421131254315,0.39659660397687696,0.33819122616636604,0.18754351139068604,0.23162934267816102,0.4989027528705837,0.4104624377138539
26,0.1872059591114521,0.2290632198503326,0.39532791734948647,0.3384025114356947,0.18582078218460082,0.23019501821160587,0.5014542198588237,0.4201338201931517
28,0.1856904488056898,0.2273719949124111,0.41168350792489117,0.35667266311968987,0.18708673119544983,0.230872045589573,0.5062067485711332,0.4306504598203676
29,0.185146314650774,0.22672313909710137,0.4150004713687085,0.36714553905633945,0.18563968539237977,0.22967905818499756,0.5094405678370683,0.43537042261168807
31,0.1854652687907219,0.2269268803266099,0.4126807431321486,0.36012926456341243,0.1829575091600418,0.2288431313821203,0.5089020424359545,0.43366965389637985
32,0.1881156012415886,0.23062884139008155,0.385898897878058,0.32392713843237725,0.18348655998706817,0.22813070381699482,0.5131568349530474,0.4375018769448263
33,0.1846949815750122,0.22750591397419678,0.4149317496666293,0.36060894362344775,0.1887274980545044,0.23167717566532675,0.5182867747521935,0.44183070687913784
35,0.18387112990021706,0.22658298835709154,0.42363399856315376,0.37356711721909547,0.1874835342168808,0.23082902516704348,0.5165643381588881,0.43744035042799345
36,0.1827483743429184,0.22385388281030655,0.43909450481952744,0.3943225986249893,0.18336733281612397,0.2277350297086754,0.5172261224455027,0.43574104662975266
38,0.18259775936603545,0.22539659748170687,0.44098858826043696,0.397482425862323,0.19184273183345796,0.23402027646854034,0.5237204799210029,0.4465872925971446
39,0.18304232135415077,0.22520101835907752,0.4284058367032959,0.38562715686667304,0.181484255194664,0.22923600704585412,0.5166575884945412,0.4316553929286375
40,0.1837715320289135,0.22579052721831364,0.42890027708407075,0.381576519407523,0.18433859944343567,0.22793203735754425,0.5235278907901374,0.44248113005708517
42,0.18146527782082558,0.2243014473462267,0.4472773241485455,0.4048346839305153,0.18705720007419585,0.23014563842550304,0.5249698568110893,0.44498174349122055
43,0.18074469938874244,0.22261972081878836,0.45154808469782176,0.41184361781467604,0.18225502371788024,0.22642557147064826,0.5262215149101994,0.4457962373807221
45,0.1804921254515648,0.22277211801493985,0.449332395524602,0.4050895633701998,0.1825040727853775,0.22629765777697053,0.5290029671001005,0.44824997346869905
46,0.1802911028265953,0.22212813364748307,0.4552533822506888,0.4173062930215521,0.18183069825172424,0.22578457484507278,0.5305840873447614,0.44988189108183724
47,0.1812328040599823,0.22462758060104882,0.44710502700145094,0.39828036495627994,0.18354888260364532,0.22693662679377863,0.5311972747412975,0.4559612969117503
49,0.1796505056321621,0.22183079148906074,0.4579222162942224,0.41609813032346743,0.18485696315765382,0.22807334377213873,0.5311968843728228,0.45695011593227836
50,0.17925069518387318,0.22202179890628304,0.46648849880268894,0.42243585855523436,0.1847313404083252,0.22794690936034012,0.5311291897726189,0.45680362422553344
51,0.17789471969008447,0.21996295257588486,0.4706583037053394,0.4327124194196601,0.17958399951457976,0.2246754038578322,0.5332804156904549,0.45512629418330436
53,0.1811015360057354,0.22666761659375909,0.44620293826948865,0.4014442804005832,0.19233379065990447,0.23306524010208418,0.5365956658704393,0.46072960196629653
54,0.17866490334272384,0.22019599233684092,0.4700990259327598,0.4296509969108084,0.1826285183429718,0.22603300941559876,0.5356581455534,0.46078380389779217
56,0.17711554765701293,0.21928131485878094,0.47693209367736156,0.4400589221218753,0.18227980732917787,0.22569718839887384,0.5368363338698643,0.46133900746635526
57,0.17922197021543979,0.22234653935512003,0.4629734845292902,0.41908373887968864,0.18002741634845734,0.22405418503521368,0.5398745293299683,0.4632756278295228
58,0.1794551506638527,0.22261854657858257,0.45008882274329376,0.40624490271575764,0.1774861991405487,0.22377624854493078,0.5397695527241939,0.4650555020664733
60,0.17728956937789916,0.21907635510498363,0.479743920495862,0.4453246652806079,0.18048682808876038,0.2241145619685097,0.5416469146490323,0.4713356015346268
61,0.17657456845045089,0.22051184673846286,0.48343523035413355,0.4465727054576434,0.1823237031698227,0.22476038749358906,0.5451047460672412,0.47658732922143127
63,0.1780332364141941,0.2193327490043287,0.4741132163913758,0.4309620761944194,0.17782545685768128,0.22288430356244368,0.5437525826195707,0.47196551587362995
64,0.17588172480463982,0.21914136665510628,0.48254485041030465,0.4471575100987014,0.18269674181938172,0.22489448408879747,0.5474931817544118,0.480022559744599
65,0.17636929973959922,0.2199008290913366,0.4773616717153477,0.44039933666211073,0.17806680202484132,0.2227413565233068,0.5455847462359837,0.47721870847750175
67,0.17647412940859794,0.21835744615519834,0.4825972895605342,0.4393552537547461,0.1771277368068695,0.22254589181815299,0.5454621322153415,0.47645695160242835
68,0.1758322797715664,0.2190625981313018,0.48376341727454475,0.44478116865196926,0.18021698892116547,0.22339430173324476,0.5482769602381181,0.48199580303445266
70,0.17427152022719383,0.21881713824006288,0.4980759841344379,0.4622082297716684,0.18284909427165985,0.22465719926731062,0.5510637974377113,0.4880019630109933
71,0.17434731796383857,0.2167987571065637,0.4950563273952526,0.4583712877721113,0.176723849773407,0.22166944072333755,0.5507030607791176,0.4878584011383834
72,0.17522631883621215,0.2193346254361822,0.47715264642663624,0.43696455098495596,0.1769928514957428,0.22178695144058788,0.5504469345209416,0.4868886260397322
74,0.17493469044566154,0.22263277313923088,0.47937731538432216,0.43795238187555163,0.18957103788852692,0.22881336072810335,0.5587689641545048,0.49882623522237357
75,0.17400546967983246,0.21651450832697053,0.4977162350638541,0.4552116065193075,0.17954418659210206,0.2219795439448228,0.5583956095091165,0.49626995493967513
76,0.17267441675066947,0.21487799920448594,0.5067772936531105,0.47024223910012086,0.17553194761276245,0.2202385074364708,0.5590726668261176,0.4963051129492939
78,0.17320768758654595,0.217008365478259,0.5079408071920043,0.4734054509864237,0.1795109838247299,0.22147293851704644,0.5634338930384005,0.5043753410738702
79,0.17275375947356225,0.21510248146719346,0.5053907108715902,0.4687380705741241,0.1738831341266632,0.22161627297245015,0.5603827890193133,0.49929793851809207
