second,train_MSELoss,train_RMSE,train_PLCC,train_SROCC,test_MSELoss,test_RMSE,test_PLCC,test_SROCC
1,0.37669067698366504,0.61271141773933,0.07384104738245896,0.046714757177863414,0.3677319437265396,0.5829226700711413,-0.3587650937698719,-0.3090164630158931
1,0.36618708687670093,0.6068864381414969,0.023321119082322365,0.01392621039065394,0.36027232706546786,0.5768715521097875,-0.2984763477425745,-0.25653881597046824
1,0.36169059837565704,0.6007204770410299,-0.05583115256846369,-0.025316587791477302,0.35246244072914124,0.5704728012994686,-0.18923483722526652,-0.10628342245989306
1,0.3556917485068826,0.5941097947655123,-0.021547969553866075,-0.014625390680031098,0.34428736865520476,0.563703154261714,-0.11573322050556713,-0.11530748663101605
1,0.33947883984621835,0.5871488987342163,-0.05270248500634178,-0.03692089348979666,0.33563472032547,0.5564554611959316,-0.07619162339571606,-0.14991225923485996
2,0.3366890479536617,0.5798275847688475,-0.16066597176909922,-0.15897481385629234,0.32672451436519623,0.5489001056968154,-0.06181171873682165,-0.16176470588235295
2,0.3229304876397638,0.5719287407258142,0.06171087000150865,0.03791748629032678,0.31760039925575256,0.5410629691168963,-0.054859358076116825,-0.16677807486631016
2,0.3236585355856839,0.563744225735646,0.16543583447749355,0.1373941446259646,0.30814804434776305,0.5328327640640814,-0.04449597564451882,-0.16744652406417113
2,0.30757428004461174,0.555308318107623,-0.014928876490178768,-0.006209138390737425,0.29791911840438845,0.5237934959500714,-0.0446918067672721,-0.15675133689839574
2,0.29873495329828825,0.5461426934495042,0.031586792742077256,0.035632105941467124,0.2877136588096619,0.51463110886409,-0.05038080991754217,-0.14806149732620322
3,0.2948271579602185,0.5366753048526405,0.10853785438744323,0.13294861024873075,0.27732829451560975,0.5051526564502024,-0.057185338822951445,-0.12199197860962568
3,0.2758629006498,0.5270396251883607,-0.12074803233092649,-0.11615784777697193,0.2662592738866806,0.49486992691057685,-0.0634188711966116,-0.12266042780748664
3,0.268901848617722,0.5165595006727897,0.07378450497301749,0.07145205136366244,0.25550816059112547,0.4846949699305004,-0.06889860336193372,-0.1179812834224599
3,0.2524370708886315,0.5062443023297997,-0.13291763677979032,-0.09654961903763835,0.244218048453331,0.4737998574361505,-0.07313965237785758,-0.1019385026737968
4,0.24684148763909058,0.4951395383860544,0.05387046381700734,0.05063839334630816,0.23341757357120513,0.46316424104873677,-0.07391293636626428,-0.08088235294117647
4,0.23706593408304102,0.48409430404220655,-0.004882141420699646,0.033346725592607464,0.22211332321166993,0.45179620486383376,-0.07766587870341649,-0.07486631016042782
4,0.2228819868143867,0.47232020630169985,0.13592988558680472,0.14158922636222757,0.2109944075345993,0.4403643750420706,-0.0805223890886775,-0.07938497562604066
4,0.21558619378244176,0.4607688905616352,-0.046154440429082996,8.348421365697379e-05,0.19951432794332505,0.4282841527652818,-0.08565468798067286,-0.09258021390374332
4,0.2052162898813977,0.44859865526859516,-0.0655092677268018,-0.057374525835755225,0.18820231556892394,0.4160870804072485,-0.09204805598691743,-0.10661764705882353
5,0.18999455036485896,0.43605841654678257,0.03524596683622677,0.04741126855736602,0.17735429108142853,0.4040982180409662,-0.10375491327024647,-0.13536096256684493
5,0.18140535231898813,0.4238073083924506,0.02907649465874235,0.032052720280924374,0.16667470037937165,0.3919982384864154,-0.10870710123691497,-0.13871479951497634
5,0.1717276318984873,0.4114917151518298,0.01169433051231003,0.018721334912576368,0.15622493177652358,0.379855320162458,-0.11290751506724166,-0.1524064171122995
5,0.15701700396397533,0.3991069050398471,-0.015719962125882527,-0.01556458808367205,0.14602077156305313,0.36769135700055633,-0.11469945066998258,-0.1462354814163907
5,0.1503851865144337,0.3866829334132292,0.10948434330614952,0.11034525940110511,0.1366966426372528,0.3562982013181566,-0.11481317129347636,-0.13636363636363638
6,0.1410576780052746,0.3748689280074008,0.0875961801770342,0.07615325614522077,0.12738628387451173,0.3446462273702835,-0.11330412377121636,-0.13302139037433156
6,0.13021598690572908,0.36343898037384675,-0.16245467922724863,-0.19355814936369373,0.11838021129369736,0.333107214832564,-0.11154618965621549,-0.1266711229946524
6,0.12541343972963445,0.3515794336198639,0.031280975690041436,0.08935941519308332,0.11081854552030564,0.3232166268254099,-0.10965719149708399,-0.11597593582887701
6,0.11695341765880585,0.3412635657040014,-0.10189035160123248,-0.09658079967441155,0.10308802723884583,0.3129242659714092,-0.10865860761732264,-0.10461229946524064
7,0.10918787362820961,0.33075093607766604,-0.05431794033922943,-0.05328379936656353,0.09640102088451385,0.3038925663985367,-0.1081422421874202,-0.08288770053475936
7,0.10582876840935034,0.32154850868121176,-0.12673233288879557,-0.11435771941999341,0.09024063050746918,0.29549649463947025,-0.10792189322228095,-0.08288770053475936
7,0.09716676307075164,0.31246737298446087,-0.006010905286767637,-0.053372501343574054,0.0850510612130165,0.2884048730056006,-0.10699420066784507,-0.08288770053475936
7,0.09218792069484205,0.3048196611712423,-0.012903278954184543,0.026412318095725085,0.08040720671415329,0.2820921508346191,-0.10640995233197234,-0.08288770053475936
8,0.08839613747070818,0.29815137673579106,-0.09068148682996117,-0.0648046208512259,0.0763885110616684,0.2767120929389471,-0.10526386645554023,-0.08288770053475936
8,0.08393214051337804,0.2920286868745665,0.03387434742453027,0.04194559959927577,0.07322809994220733,0.2725935907486067,-0.10372483454056028,-0.08155080213903744
8,0.0822600505369551,0.2876568302460822,-0.10477167740942184,-0.06622385248339446,0.07034493759274482,0.2689947945818252,-0.10239595751907406,-0.0731951871657754
8,0.08132697137839653,0.2833473917947154,-0.08055764966616887,-0.02089192446765769,0.06808962002396583,0.266361898209162,-0.10011981964717422,-0.07453208556149733
8,0.0775162844973452,0.27993229310339124,0.11403516252029892,0.12226784866399167,0.06670226976275444,0.26487303086862524,-0.09737460958198442,-0.07386980889833679
9,0.07594915786210228,0.2776731628439332,0.11838441248818891,0.1798041251637073,0.06543643474578857,0.2636527515727809,-0.0961578368447575,-0.06851604278074867
9,0.07604713606483796,0.27583817298714175,0.1422866433310542,0.15319874982390047,0.06444911509752274,0.2628431240839821,-0.0948713705536614,-0.05749143497970104
9,0.074824268984444,0.2745601842429632,0.022869459396267496,0.04201864828622562,0.06354653611779212,0.2622827471388497,-0.09295900293498992,-0.058155080213903754
9,0.07535122992361293,0.27349294846343775,-0.003983166281818805,0.027398475369548085,0.06307258382439614,0.262101510808391,-0.09099625180314784,-0.058155080213903754
10,0.07585131683770348,0.27281378975895454,0.05390429173661768,0.04120989496642369,0.06270759999752044,0.2620489707690191,-0.08943467029937356,-0.04846256684491979
10,0.07348993179552696,0.2724473889357737,-0.08605263155560045,-0.07951349574491397,0.06231914460659027,0.2621313347549863,-0.08798632418248219,-0.04846256684491979
10,0.07330137951409116,0.2720149241091865,-0.05534302031994731,-0.06402717411154533,0.06215895526111126,0.26223440167913403,-0.08602223511375799,-0.047459893048128345
10,0.07578034041558995,0.27186858149169973,-0.12927715440882695,-0.052908120405107145,0.061996598914265635,0.2624108143938615,-0.0840932506482611,-0.04378342245989305
10,0.0747996198342127,0.2716951673241501,-0.1676623971485453,-0.1816253614937934,0.061944515258073804,0.2624903481483877,-0.08216720835308669,-0.04344919786096257
11,0.07650264330646571,0.2716154637859143,-0.10789810908514562,-0.1016942077609012,0.06189632341265679,0.2625783624604012,-0.08039463918449878,-0.04010695187165776
11,0.07313026411130148,0.2715010977091603,-0.0030033167081929997,0.015496757160075758,0.06184029392898083,0.2627038899013575,-0.07810753640027229,-0.04344919786096257
11,0.07245428882101003,0.2715305286867638,-0.11611610375863074,-0.10742852968646457,0.061781732365489006,0.26287422374225466,-0.07596891238367683,-0.049799465240641716
11,0.07384836860001087,0.2715463951953351,-0.15025070278857855,-0.15339702483133577,0.06173325181007385,0.26306517801134377,-0.07305512114201114,-0.049799465240641716
11,0.07396709612187218,0.2714013380863444,-0.007231948132071701,0.004941221895822136,0.061773864179849626,0.2628998854925834,-0.06705937271932579,-0.04612299465240642
12,0.07254121737445102,0.2714575991563787,-0.04864527255829753,-0.02730459124643112,0.06176830753684044,0.26282092663490647,0.30512422618813645,0.21691176470588236
12,0.07245827422422521,0.2713892310597826,0.055116519540787536,0.07110767898232742,0.06171454042196274,0.26289073431950694,0.3992223703281152,0.3038101604278075
12,0.07384563029250678,0.2716422814620852,-0.16572232915708074,-0.15669465127078622,0.061661561205983165,0.26320353261698726,0.38069058006960327,0.2947860962566845
12,0.07263868017231717,0.2713638959249109,0.019082599824956307,0.004925568605761453,0.0616703275591135,0.2628914035720012,0.5014230050651839,0.33188502673796794
12,0.072619006914251,0.27128834358968124,0.09098920794031158,0.15488930515045418,0.06163516752421856,0.26303605191883805,0.40983582589078815,0.3622994652406417
13,0.07396391406655312,0.2712852414234215,0.1001544417291753,0.07636718444271677,0.06159433722496033,0.26330021673302983,0.5172434677616856,0.30815508021390375
13,0.07360273249009076,0.27121182181039594,0.16815414214328617,0.1877977386213625,0.06161731891334057,0.26304662901387454,0.5330143011635533,0.32486631016042783
13,0.07353221121079781,0.2712113012885052,0.21898160031706213,0.16854940961007653,0.061590425297617914,0.26288921691072226,0.551952065241015,0.3405748663101605
13,0.07402214232613058,0.27116370893890507,0.25705280414084736,0.2072130360599625,0.061529600992798805,0.26300805856477366,0.49532497638562323,0.40808823529411764
14,0.07388796350535225,0.2711242531940846,0.41447234295788166,0.40356268881781127,0.061521712318062784,0.2628941525651265,0.6391795747781196,0.411096256684492
14,0.0759927251321428,0.2711267228406048,0.3425770741917702,0.3767538207072156,0.06151102744042873,0.2628948049683196,0.4994688512618359,0.40875668449197866
14,0.07291002001832514,0.2711598473049167,0.18298729138890005,0.20732027064591457,0.06167862340807915,0.26292284640887725,0.3847667889689705,0.3265374331550802
14,0.0720767006278038,0.27118163471623924,0.2660001361142419,0.25296238514398417,0.061549152806401254,0.26256806443942937,0.4976697302339871,0.4046126862960936
14,0.07292611283414505,0.27102886543377946,0.449083496556263,0.43668505058621565,0.061514536291360854,0.26265689705683026,0.49915929488260347,0.4137700534759359
15,0.07254629143897225,0.27104135110431105,0.4483201080330202,0.4742066054365373,0.06148081608116627,0.26271111119985674,0.539780262374758,0.4171122994652407
15,0.07401788541499306,0.2708976063924059,0.5250903043800317,0.5522480733408816,0.0614391628652811,0.2628315444141995,0.5614954570568083,0.4398395721925134
15,0.07223476348992657,0.27085300304247556,0.5915273860230937,0.5623600987200825,0.06142682172358036,0.2628984026421239,0.5101723402056562,0.47493315508021394
15,0.07238705719218534,0.2707919436021493,0.6012519695249902,0.6280413038147067,0.061404506862163546,0.262905699453334,0.5183594265444206,0.4766042780748663
16,0.07430493634413271,0.27093531336014287,0.4178933783171657,0.3791644273765607,0.061389379948377606,0.2628930371239185,0.5357928944060257,0.4624383738047464
16,0.07389877758481923,0.27085286134558106,0.48955584365002486,0.4823613509832874,0.061357660219073296,0.26298513823918546,0.5562484015435498,0.45608757575466313
16,0.0726637577309328,0.27068330648621597,0.5978004098291939,0.601921180466781,0.06136655882000923,0.2628339159042905,0.6471724293270112,0.4612299465240642
16,0.07287995035157484,0.27065275343399736,0.6603995309654026,0.6047700792578253,0.061342443153262136,0.2628595861145723,0.6460802916785915,0.4712566844919786
16,0.07424196031163721,0.27054867839859054,0.6530196421770257,0.6542605646663501,0.061297296360135076,0.26294002565384533,0.570427618864072,0.5180481283422461
17,0.07296393285779391,0.2705746214062061,0.6328915922384369,0.5351338095412019,0.06128211133182049,0.2628914170789442,0.622303900230069,0.5100267379679145
17,0.0722840900587685,0.27041871225868036,0.6426353781216299,0.6174283731535639,0.06124061942100525,0.2626267792120688,0.5910506969825923,0.5220588235294118
17,0.07306526382179822,0.2704013515991243,0.5842017660757783,0.6247749839553776,0.06130694337189198,0.26249140174969865,0.6446346204926305,0.4732620320855615
17,0.0717961019014611,0.2703968756158279,0.5575170870937727,0.543450924326778,0.061151410639286044,0.26247484004672406,0.580172926713561,0.5287433155080213
17,0.07200842350721359,0.2701742984938474,0.6128703851545013,0.5613948124996738,0.0611928153783083,0.26269796462020734,0.5714452711770781,0.5497994652406417
18,0.07393854374394697,0.2700001529803886,0.7451604023638925,0.716200633436471,0.061191617697477343,0.26277028342762093,0.6498955549919088,0.5167112299465241
18,0.0735693431514151,0.27031690695115357,0.560760651706914,0.4698491544614485,0.061151626706123355,0.2628444847360689,0.6435667746859133,0.5511363636363636
18,0.07509788235320765,0.26995449158191276,0.637540291768414,0.583565088988954,0.061103590205311774,0.26251266738832524,0.5841830731338442,0.5521390374331552
18,0.07236415520310402,0.26978892761075207,0.7227368383278248,0.6286726531804875,0.06114839166402817,0.2622925016635203,0.6456391383352892,0.5083556149732621
19,0.07272527465487227,0.26966316676820923,0.733023043998992,0.5983000526994098,0.06110527664422989,0.2624469922568338,0.6377305377801076,0.492353975145928
19,0.07228018453016001,0.2698033749426458,0.5929605740379827,0.5436335460441526,0.06105145066976547,0.2621374540108203,0.6402684252854344,0.5347593582887701
19,0.07195337445420377,0.26959822926322535,0.5925689329727825,0.5979817691348426,0.0609874252229929,0.26257605517522087,0.6474233348616996,0.5394385026737968
19,0.0716533465858768,0.26933209290930726,0.6665494011541293,0.6424162418537669,0.06092705763876438,0.26238122149908766,0.6495104513650142,0.5691844919786097
20,0.07143693526878077,0.2690529932307561,0.7292529201956356,0.6710252383213411,0.06088464520871639,0.2620595769866322,0.6538306976755537,0.553475935828877
20,0.07233257767032175,0.2688837396365732,0.7227524732441611,0.6715313613666364,0.060823849961161615,0.2621168311186851,0.6469732317455827,0.5524732620320856
20,0.07187739693943192,0.26904924376371536,0.6994649874562799,0.6267003386328415,0.060586220026016234,0.2617018342423423,0.6110669230434299,0.5919117647058824
20,0.0714415175949826,0.2685349660492022,0.6781094619907396,0.7448200654307524,0.060645413026213645,0.2619288924989861,0.64245948811408,0.5427807486631017
20,0.0713479160605108,0.26921173372573054,0.5683068642143352,0.4498025076570677,0.06051277667284012,0.2621412715688724,0.6570760974288601,0.5641711229946524
21,0.07162197328665677,0.2679701614031188,0.7373353772197351,0.7128717004168993,0.0603692002594471,0.2618288243312392,0.656563043509832,0.5728609625668449
21,0.07182596382849357,0.2678990606004774,0.7331893998961524,0.6864802533745884,0.060241364687681195,0.26115800081355117,0.6442989447660104,0.5875668449197862
