second,train_L1Loss,train_RMSE,train_PLCC,train_SROCC,test_L1Loss,test_RMSE,test_PLCC,test_SROCC
2,0.3922352701425552,0.4624184910893067,-0.0990644443911825,-0.10176982926877715,0.2984397947788239,0.34568352663513585,-0.09937181429833847,-0.07453351547473427
5,0.240124424546957,0.2868705122049741,-0.08669316161133836,-0.06322034617151988,0.23391627371311188,0.27722295500661503,-0.08661692903873469,-0.041038186727514414
9,0.2245767280459404,0.2660318423810227,-0.10525799127998617,-0.1037946626033642,0.2282027095556259,0.2759881597164209,-0.05037385734803766,0.00447825147519139
12,0.22247008830308915,0.2631974943952205,-0.08092204628630069,-0.07376898896456292,0.22713235914707183,0.2705424708256639,0.00874023582227585,0.052940637900537005
15,0.2200426295399666,0.2585233367884692,-0.04686509469738305,-0.0317649686797847,0.2248942196369171,0.2671448145665284,0.07051803676411982,0.09710642256705489
18,0.21787919700145722,0.25591841964970224,-0.003326978825259279,0.007749112528369091,0.2216426432132721,0.26400041627039367,0.12999511627911142,0.13599997070782407
20,0.21577301099896432,0.25284603281694434,0.043096207860556957,0.044641690761981524,0.21962049901485442,0.26062907833893584,0.20006751829590969,0.16340124445445636
23,0.2137349173426628,0.2512000869801491,0.07583759316766907,0.059635392309164426,0.21636962294578552,0.2576097973777163,0.24879816397859547,0.1670869757961579
26,0.21139973476529123,0.2480140876417338,0.13070975406216034,0.09381783288483529,0.21377321779727937,0.2546732548646577,0.3037356697729453,0.1837826356138734
29,0.20917947068810464,0.24569973766237893,0.1735620585945837,0.11544192579136706,0.21114683151245117,0.2522796299399229,0.34058826220772465,0.18710799735698247
32,0.20689156875014306,0.24344405171325098,0.21337915332227714,0.13508256578945238,0.20771990418434144,0.24959415841097343,0.3635784661140711,0.19432710866537076
35,0.20458993464708328,0.24158367727549562,0.24431001521695642,0.15169523102473584,0.20447476208209991,0.24724094359524582,0.38730192484005777,0.20718615068343754
38,0.20217784270644187,0.23962636181023442,0.2731428173397139,0.16891110157714806,0.20117703974246978,0.24517141989934502,0.4028267147699905,0.21309562613352653
41,0.19968044608831406,0.23763967996690724,0.30020047594038174,0.1911915483875663,0.19808803200721742,0.24336407181835618,0.41251665730802034,0.217629544457281
44,0.19731267541646957,0.2364758015905051,0.31662625008016715,0.20828770799908874,0.19592689275741576,0.2416824566405215,0.426350977595513,0.22725404959042045
47,0.19582187458872796,0.23479466104096428,0.33411964727437354,0.23535759617931126,0.19417207539081574,0.2400242792593195,0.4322181861354,0.22872043157493685
50,0.19404623433947563,0.23521495579647123,0.34414890465484305,0.2543430155255784,0.1935924768447876,0.23881166128410858,0.44688230158083664,0.25222649083922244
53,0.192496607452631,0.23141122471949524,0.37045706437969794,0.2938089559739429,0.19158848822116853,0.2368235788394268,0.4544667362550167,0.27481844185341986
56,0.19116466119885445,0.23210172868575857,0.3767438935013549,0.3035043574298036,0.19315455853939056,0.23683074121435574,0.4664627257283771,0.30150483607113704
58,0.19015888050198554,0.2300707928052762,0.38772038642308815,0.32553128605116627,0.1918001353740692,0.23506258724589554,0.4759521631134968,0.326894778684162
62,0.18843451514840126,0.2288165438810299,0.40094081139416404,0.3455804414252672,0.18900744915008544,0.23346588780931177,0.4784768902279936,0.3354205960167148
64,0.18809848204255103,0.22886031399065856,0.40517151424770703,0.3466298010295236,0.18935164511203767,0.23245126458373183,0.48832098796878187,0.35885047959349303
