second,train_L1Loss,train_RMSE,train_PLCC,train_SROCC,test_L1Loss,test_RMSE,test_PLCC,test_SROCC
1,0.3315404810011387,0.40396409854238463,0.0514076174437192,0.04650840545533055,0.2297328770160675,0.2691355747540484,0.10164870757128405,0.05697208967015646
2,0.22704450860619546,0.2741471110598389,-0.0011122252803445077,-0.005659027340628382,0.22621437907218933,0.27248457599766823,0.12724651760721412,0.05789938217385164
3,0.21779382601380348,0.25634223130732464,0.04961052297134208,0.019969077752865955,0.22813245952129363,0.2662582751517762,0.1540240509249874,0.08021446386230124
5,0.21367565616965295,0.25133110853080454,0.10523465277781921,0.07233839807146772,0.22207663357257842,0.26183053785084265,0.190981910396948,0.10007873929690878
6,0.2106763906776905,0.24945189758025707,0.1417335379507213,0.10375744275607525,0.22223791778087615,0.2607833669401076,0.2157610219856875,0.12448572255767545
7,0.20956992954015732,0.2478009273218286,0.16918317434204153,0.13190270645291896,0.22099260687828065,0.2595027694659612,0.2414898071792034,0.1352675121740996
9,0.2067145973443985,0.24526678296109367,0.2016681026115708,0.15637986287883113,0.21781116724014282,0.2567634207519114,0.26942172884806836,0.15921890622688967
10,0.2048031769692898,0.24398516479980736,0.2283615453238148,0.175309676241427,0.21445026397705078,0.25420752394141344,0.29390961862897014,0.1765269013787988
11,0.20268702730536461,0.2420956680320616,0.24911931499906154,0.19099327305241365,0.21331861317157746,0.2535013150867774,0.31166917210767164,0.20023365428132486
12,0.2019357532262802,0.2426605601965818,0.2575701195266583,0.19229258958745493,0.2105511575937271,0.2514603458689936,0.32545601704817384,0.20644050789610602
13,0.1996784433722496,0.23959665905344896,0.2839256937094623,0.21894771796070245,0.20921443700790404,0.2503569698808422,0.3447994944187449,0.2194328573673106
15,0.19813981130719185,0.23813909110509474,0.3000326839959405,0.23837217120261844,0.20562345683574676,0.24792750423961965,0.35986259699860595,0.2305486480751131
16,0.19736703410744666,0.2388068205240284,0.3088636228511558,0.23504994176029756,0.2038258671760559,0.2463386258396844,0.37473266390710736,0.2405540316457893
17,0.19577665328979493,0.23626905634783008,0.32379904496332046,0.26594559849003857,0.20251072943210602,0.24475249321788864,0.39083086476753925,0.25099449558549786
18,0.19524650946259497,0.23791580707643917,0.33007170089773785,0.2671829857766884,0.2043406069278717,0.2457349287448414,0.40522016683319195,0.26154922305646744
20,0.19667985364794732,0.23709437906940245,0.31950584705271357,0.25858318745796127,0.19843918681144715,0.24420831541655377,0.4185356903514456,0.26498591849670267
21,0.1944912701845169,0.23646170172256142,0.35079527116361464,0.2961957041700278,0.1984667181968689,0.24024191014299845,0.4305761205552036,0.278744419594183
22,0.1917268604040146,0.23260714031969565,0.36601447550635985,0.3178277827964172,0.20095044374465942,0.24222865313573222,0.43636779044965135,0.28560316130397895
23,0.1928357146680355,0.23433925937400782,0.3554927904717944,0.3007359429405287,0.19421237707138062,0.23889500731048063,0.44276559011957195,0.28164056063652954
24,0.19003107994794846,0.2304981112712538,0.385808092796747,0.33533669940826855,0.1971840262413025,0.2384845467955807,0.45283923208453414,0.3013671338667969
26,0.1891929902136326,0.22873041652753295,0.39779186878616496,0.3494640511997193,0.19307292997837067,0.23568688293155154,0.46118972080867693,0.3104247160948337
27,0.19050346240401267,0.23081144771050485,0.38245967158921745,0.3297666582415096,0.1929556429386139,0.2349269543445488,0.46886823300956376,0.325990924853546
28,0.18880597725510598,0.230951248945891,0.39348217683728365,0.34584638616536284,0.18959031105041504,0.23414610130837873,0.476779733317787,0.3390052480807624
29,0.18742999359965323,0.22883708932008756,0.40653103262732204,0.35920143091823936,0.19781616628170012,0.2383381192685034,0.4797033051547503,0.35203715031278804
31,0.18709241226315498,0.22868779935604203,0.4120528900504875,0.36071626060194184,0.18963660895824433,0.23217548838120408,0.4871392696070253,0.3570530263517332
32,0.18514642044901847,0.2255994313453716,0.4292087559822544,0.38509888819899135,0.18995002508163453,0.23172712413103025,0.49288351436755573,0.36586889726364086
33,0.18460854515433311,0.226167237570437,0.43560970034341034,0.39494105252805933,0.18995705842971802,0.23121900702893358,0.5027516657760204,0.3847165202534389
34,0.18425133153796197,0.22483291267521702,0.43366350846967466,0.3960948899508666,0.18703242540359497,0.23108735159964067,0.5007664895178032,0.3714487663735539
35,0.18518007844686507,0.2253628523221651,0.4384494253772273,0.398674541748739,0.1861081451177597,0.22844796435900577,0.5117658575323949,0.40128766212042116
37,0.18359543308615683,0.22523909736052153,0.441745226057887,0.40110403737193445,0.18739644587039947,0.22902476929021348,0.5119092103332606,0.4004350803871659
38,0.1813730016350746,0.2226342660505241,0.45956113560590434,0.4231911512585201,0.18899992406368255,0.22995052203343486,0.5191909718889003,0.4172904161652333
39,0.18122462779283524,0.22267739149392846,0.45588292668868424,0.4183726202274328,0.1849016696214676,0.2266607948316068,0.5231876131725675,0.42126620108628976
40,0.18116850554943084,0.2221083489446695,0.457657698513089,0.41513042186370325,0.18704975843429567,0.2281384167342731,0.5238104507241947,0.42403635926083566
41,0.18098222874104977,0.22280018885766073,0.4572271330882546,0.4122856591675605,0.18719688057899475,0.22825074995779732,0.5251284971574368,0.42438061477168615
43,0.18038716465234755,0.22241080482881767,0.46125284571886166,0.4226683560479169,0.19169017672538757,0.23212165789486416,0.5259829418558546,0.4263055157983141
44,0.18020310252904892,0.22191576686929412,0.47014023561427665,0.4284495339558689,0.19256480932235717,0.2325973877445137,0.5317435167500532,0.43914844372863887
45,0.17791584581136705,0.21867846261159343,0.4792259520833358,0.4452314212430302,0.18240289390087128,0.22377008585005254,0.5410622565164498,0.45760346894436055
46,0.179327280074358,0.2228229488588874,0.4632815456345619,0.4243223368203813,0.18971202969551088,0.23008229793362614,0.5350440232559106,0.4482719472247108
47,0.17701406627893448,0.21920134278557085,0.48373282500705744,0.44491489457177796,0.1857551008462906,0.22637957600701966,0.5373053622345021,0.4495347057368518
48,0.17579307407140732,0.21755854609164862,0.49354632677675364,0.463321961042316,0.18500775694847107,0.22550143527706498,0.5430336938339608,0.4563026225884658
50,0.17631749138236047,0.21940690780209463,0.48915985797021866,0.45368557123255754,0.18475882709026337,0.22514311698493644,0.5463698426401915,0.4640930515531593
51,0.17560513615608214,0.219195652356867,0.4798664610808242,0.4451982968534776,0.18074070811271667,0.22210265944577348,0.5509171080832536,0.4718409979228967
52,0.17497269809246063,0.21671233732923123,0.4981684571868634,0.46661949857305174,0.18235603868961334,0.2227340494252836,0.5497479116282807,0.46828857403433305
53,0.17395109869539738,0.2172083814107911,0.5067757879696992,0.474784070856533,0.18317770063877106,0.22330108280959746,0.5525535366410144,0.477098585277971
55,0.17525601834058763,0.21689801496586755,0.494295385126042,0.4580245404086508,0.18382273018360137,0.22370645208379553,0.5551255785570619,0.4834900184432506
56,0.17322031259536744,0.21575979184760735,0.5082098519879669,0.4776284693685907,0.18780077397823333,0.2274152693545725,0.5572028767303552,0.4870351177464771
57,0.17399684488773345,0.21701662204161967,0.5001973112555712,0.4638447706568366,0.1833439826965332,0.22332132641826577,0.5571264293172425,0.48578407857087563
58,0.17478402704000473,0.21737491508545698,0.4904137858123724,0.454294982258526,0.17885447144508362,0.22069375648335576,0.5601714940304885,0.48922370384524577
60,0.17275865003466606,0.21469124343261986,0.509423684050043,0.4754507739402067,0.18166046738624572,0.22168227294146287,0.5608170629307093,0.49161151866518754
61,0.1715095490217209,0.21474731131074662,0.5191406628953309,0.486794304964508,0.18472284972667694,0.2240561525967923,0.5646736681270108,0.500834636521846
62,0.17076124101877213,0.213866630506836,0.5177907070649841,0.4839289702563452,0.17960766851902008,0.21986509753300987,0.5642339356822021,0.49560781242518825
63,0.1717972055077553,0.21553104428864844,0.5031266437036462,0.4652267260259625,0.1782364010810852,0.2198838367592057,0.5626642985782335,0.49335916472665403
