second,train_MSELoss,train_RMSE,train_PLCC,train_SROCC,test_MSELoss,test_RMSE,test_PLCC,test_SROCC
1,0.5518736019730568,0.7428819603607508,0.06110085126817529,0.06072375887060912,0.5014661908149719,0.7081427780373108,0.2501066064030729,0.11675828502688233
2,0.4540257275104523,0.6738143114866229,-0.06637870806342717,-0.07649004815330873,0.4319373190402985,0.6572193729093003,0.2395916138751748,0.1869776197379795
3,0.4019517406821251,0.6339966382452583,-0.05161773094535279,-0.057287478774447835,0.39710564017295835,0.630163181227656,0.18195443851495585,0.16923307929997058
5,0.36966086477041243,0.6079974216169126,0.06121813754586759,0.0693237174039852,0.37073458433151246,0.6088797797874347,0.12802972102231291,0.1350155464384984
6,0.34134216904640197,0.5842449534384254,-0.0062940290530857056,0.004764713530390931,0.34064451456069944,0.5836475992095304,0.0917883788199364,0.09848637444459178
7,0.3083313837647438,0.5552759499877562,0.0015778403665970562,-0.006664620534328475,0.2947856903076172,0.5429416981396598,0.08114587338824003,0.07996689287790236
8,0.25579041093587873,0.5057572636623199,-0.027851024842401068,-0.033909407820698664,0.22813860177993775,0.4776385710240202,0.10209184901920121,0.10496277279978351
9,0.18720066994428636,0.4326669282628691,0.008150517637107644,0.002868010880016312,0.15129127204418183,0.38896178797111175,0.10132134632543872,0.11755519991157454
10,0.11275831498205661,0.3357950475947416,0.06462448116248687,0.038921451669667914,0.08994932919740677,0.29991554067758114,0.10028532636673076,0.12451209106488953
12,0.07305229529738426,0.2702818804057539,0.06674505975409645,0.05835194213981171,0.07037672698497772,0.26528612334391977,0.09422990748729725,0.14778815834958564
13,0.06779025066643954,0.2603656096488853,0.013045219377518265,0.022762674851989483,0.07044456526637077,0.26541394978964566,0.10369277471267885,0.14918275939779702
14,0.06719598658382893,0.25922188781430455,0.020199732388616873,0.007364840452546735,0.06986576169729233,0.2643213187288533,0.11993466351916218,0.1579664021342208
15,0.06784766688942909,0.2604758477965519,0.008108304381915503,0.0020113498432081196,0.06981306821107865,0.2642216256721296,0.13430839106256304,0.16488520544378213
16,0.06569595411419868,0.2563122202758162,0.04460866424342112,0.05103919532090223,0.06961949467658997,0.263855063693907,0.1509317082799604,0.16653335912464837
17,0.06763065699487925,0.2600589485352801,0.0049767168833679334,0.014619451142528859,0.06949328631162643,0.2636157914555785,0.16707782790861675,0.1726111780575078
19,0.06953886654227973,0.2637022302779913,-0.04971145597511652,-0.04210362652828926,0.06946331560611725,0.26355894111234335,0.1845117617754401,0.18456636624495854
20,0.06985462615266443,0.26430025973248145,-0.04217606530623408,-0.03079347152787092,0.06929984539747239,0.2632486362294463,0.198837233489274,0.19558547242630944
21,0.06523964162915945,0.2554205201023187,0.059199804793326684,0.05998323276221721,0.06915737614035607,0.26297790190450265,0.21448073548523272,0.20794058297317372
22,0.06706187762320041,0.2589630836843602,0.011104740539517165,0.007802692478680665,0.06901961490511895,0.26271584610714893,0.22965848862247573,0.2108074256741713
23,0.06537541933357716,0.25568617362148194,0.05266320923701691,0.047000405201952165,0.06892192512750625,0.2625298546225942,0.24173870550403265,0.21778043091522822
24,0.06640823055058717,0.25769794071078067,0.02774616158860596,0.016878589069110002,0.06882034093141556,0.26233631211093755,0.2554751924415035,0.2253394029832647
26,0.06754558384418488,0.25989533224970357,-0.004407511124906536,0.0012727005704744982,0.0687412142753601,0.26218545955318184,0.26519659426840225,0.2333803327664919
27,0.06923076901584864,0.26311740411229795,-0.052691896336495875,-0.05420042744016589,0.06861257404088975,0.26194001945572165,0.2761428491316073,0.24768231809599586
28,0.06916096620261669,0.26298472560699665,-0.05370636960561262,-0.046844650730554285,0.06850405409932137,0.2617327915663572,0.2880515274954927,0.25340007501713174
29,0.06709119118750095,0.2590196755980621,0.010123103263952202,-0.004725139763888811,0.06841325238347054,0.2615592680443328,0.29854288859643585,0.2536196269703664
30,0.06912902891635894,0.26292399765157787,-0.04924250770616243,-0.04433236887250209,0.06834698542952537,0.2614325639851515,0.31115692938100004,0.2685324827169965
31,0.06589668896049261,0.25670350190976177,0.047992262069891024,0.06466273337607409,0.06819410249590874,0.26114000552703137,0.318685990534018,0.2673795929849142
33,0.06482756827026606,0.2546125854972307,0.059903491449120064,0.05752222056117181,0.06805983781814576,0.2608828023733429,0.32381865563417916,0.26295261360708355
34,0.06627224758267403,0.2574339652399712,0.023788156710647147,0.009127669788710307,0.06796634495258332,0.26070355500002407,0.32710859642737095,0.2643926270843858
